Date,EUR/USD,GBP/USD
2010-01-04,1.441,1.6
2010-01-05,1.4371,1.6
2010-01-06,1.4415,1.59
2010-01-07,1.4313,1.6
2010-01-08,1.4417,1.61
2010-01-11,1.4512,1.62
2010-01-12,1.4492,1.63
2010-01-13,1.4509,1.63
2010-01-14,1.4499,1.62
2010-01-15,1.4379,1.64
2010-01-19,1.43,1.63
2010-01-20,1.4101,1.62
2010-01-21,1.4085,1.61
2010-01-22,1.4131,1.62
2010-01-25,1.4146,1.61
2010-01-26,1.4072,1.62
2010-01-27,1.402,1.62
2010-01-28,1.3969,1.6
2010-01-29,1.3862,1.59
2010-02-01,1.3927,1.6
2010-02-02,1.3957,1.59
2010-02-03,1.3897,1.58
2010-02-04,1.3736,1.56
2010-02-05,1.3662,1.57
2010-02-08,1.3657,1.57
2010-02-09,1.3788,1.56
2010-02-10,1.373,1.57
2010-02-11,1.3686,1.57
2010-02-12,1.3613,1.57
2010-02-16,1.377,1.57
2010-02-17,1.3602,1.56
2010-02-18,1.3616,1.54
2010-02-19,1.3593,1.55
2010-02-22,1.3594,1.55
2010-02-23,1.3509,1.54
2010-02-24,1.3535,1.52
2010-02-25,1.3548,1.52
2010-02-26,1.3618,1.5
2010-03-01,1.3556,1.49
2010-03-02,1.3604,1.51
2010-03-03,1.3701,1.5
2010-03-04,1.3578,1.51
2010-03-05,1.3617,1.51
2010-03-08,1.3633,1.5
2010-03-09,1.3597,1.5
2010-03-10,1.3655,1.51
2010-03-11,1.3675,1.52
2010-03-12,1.3758,1.5
2010-03-15,1.3675,1.52
2010-03-16,1.3775,1.53
2010-03-17,1.3736,1.52
2010-03-18,1.3604,1.5
2010-03-19,1.3527,1.51
2010-03-22,1.3556,1.51
2010-03-23,1.3505,1.49
2010-03-24,1.3309,1.49
2010-03-25,1.3279,1.49
2010-03-26,1.341,1.5
2010-03-29,1.3478,1.51
2010-03-30,1.3415,1.52
2010-03-31,1.3512,1.53
2010-04-01,1.358,1.52
2010-04-02,1.3532,1.53
2010-04-05,1.3484,1.52
2010-04-06,1.34,1.52
2010-04-07,1.3338,1.53
2010-04-08,1.3359,1.54
2010-04-09,1.3496,1.54
2010-04-12,1.3586,1.54
2010-04-13,1.3615,1.55
2010-04-14,1.3653,1.55
2010-04-15,1.3581,1.54
